merge_kecamatan,Latitude,Longitude
"Sokobanah,Sampang,Jawa Timur",-6.941109,113.4008465
"Mojoroto,Kediri,Jawa Timur",-7.806791,111.9822195
"Kota Kediri,Kediri,Jawa Timur",-7.8424221,112.0161875
"Sukorejo,Blitar,Jawa Timur",-8.0980625,112.1476479
"Mayangan,Probolinggo,Jawa Timur",-7.745483,113.2178495
"Magersari,Mojokerto,Jawa Timur",-7.469832,112.450048
"Sawahan,Surabaya,Jawa Timur",-7.2738055,112.721452
"Genteng,Surabaya,Jawa Timur",-7.260445,112.74325
"Mulyorejo,Surabaya,Jawa Timur",-7.268612,112.7931405
"Wiyung,Surabaya,Jawa Timur",-7.308565,112.6927245
"Baturiti,Tabanan,Bali",-8.3464696,115.1717474
"Denpasar Barat,Denpasar,Bali",-8.6623715,115.2048405
"Denpasar Timur,Denpasar,Bali",-8.632949,115.2466475
"Denpasar Selatan,Denpasar,Bali",-8.7037835,115.225847
"Nusapenida,Klungkung,Bali",-8.7413355,115.528733
"Banjarangkan,Klungkung,Bali",-8.5153705,115.3783105
"Bangli,Bangli,Bali",-8.333985,115.344994
"Kubu,Karang Asem,Bali",-8.333985,115.344994
"Abang,Karang Asem,Bali",-8.3633526,115.614923
"Kubutambahan,Buleleng,Bali",-8.1547245,115.2149415
"Buleleng,Buleleng,Bali",-8.1254614,115.0905219
"Seririt,Buleleng,Bali",-8.2593195,114.917676
"Sawan,Buleleng,Bali",-8.154082,115.170232
"Gunung Sari,Lombok Barat,Nusa Tenggara Barat",-8.509737,116.1369404
"Praya,Lombok Tengah,Nusa Tenggara Barat",-8.6851065,116.285853
"Aikmel,Lombok Timur,Nusa Tenggara Barat",-8.5184866,116.5109604
"Masbagik,Lombok Timur,Nusa Tenggara Barat",-8.590263,116.4612154
"Sakra,Lombok Timur,Nusa Tenggara Barat",-8.678869,116.4729424
"Alas,Sumbawa,Nusa Tenggara Barat",-8.5710366,117.037652
"Kilo,Dompu,Nusa Tenggara Barat",-8.3637884,118.3757009
"Woja,Dompu,Nusa Tenggara Barat",-8.5279915,118.405959
"Sanggar,Bima,Nusa Tenggara Barat",-8.3236844,118.193988
"Takisung,Tanah Laut,Kalimantan Selatan",-3.8595021,114.6318699
"Pulau Laut Utara,Kota Baru,Kalimantan Selatan",-3.2900655,116.199196
"Kelumpang Selatan,Kota Baru,Kalimantan Selatan",-3.0604425,116.1416515
"Mataraman,Banjar,Kalimantan Selatan",-3.3297429,115.0420575
"Tabunganen,Barito Kuala,Kalimantan Selatan",-3.454955,114.4351094
"Batu Benawa,Hulu Sungai Tengah,Kalimantan Selatan",-2.6224715,115.446446
"Amuntai Tengah,Hulu Sungai Utara,Kalimantan Selatan",-2.4682125,115.2711519
"Kelua,Tabalong,Kalimantan Selatan",-2.252931,115.2861934
"Banjarmasin Barat,Banjarmasin,Kalimantan Selatan",-3.320422,114.569456
"Banjarmasin Timur,Banjarmasin,Kalimantan Selatan",-3.3235549,114.6276335
"Ponre,Bone,Sulawesi Selatan",-4.6775139,120.1330595
"Ujung Bulu,Bulukumba,Sulawesi Selatan",-5.5450039,120.205245
"Binamu,Jeneponto,Sulawesi Selatan",-5.667518,119.72317
"Somba Opu,Gowa,Sulawesi Selatan",-5.2104465,119.4803595
"Tanete Rilau,Barru,Sulawesi Selatan",-4.503322,119.6143515
"Lili Riaja,Soppeng,Sulawesi Selatan",-4.4021225,119.938693
"Takkalalla,Wajo,Sulawesi Selatan",-4.1441875,120.2777534
"Tempe,Wajo,Sulawesi Selatan",-4.081451,119.958045
"Maritengngae,Sidenreng Rappang,Sulawesi Selatan",-3.9203699,119.8038665
"Mattiro Bulu,Pinrang,Sulawesi Selatan",-3.870546,119.652969
"Mengkendek,Tana Toraja,Sulawesi Selatan",-3.241537,119.9399201
"Panakkukang,Makassar,Sulawesi Selatan",-5.1439055,119.457328
"Biring Kanaya,Makassar,Sulawesi Selatan",-5.1048804,119.5055166
"Kolang,Tapanuli Tengah,Sumatera Utara",1.8666435,98.7100595
"Jorlang Hataran,Simalungun,Sumatera Utara",2.814881,99.0143015
"Sibolga Utara,Sibolga,Sumatera Utara",1.7459735,98.785151
"Simare-Mare,Sibolga,Sumatera Utara",1.749514,98.7748769
"Tanjung Mutiara,Agam,Sumatera Barat",-0.2983425,99.8838885
"Padang Barat,Padang,Sumatera Barat",-0.944676,100.3569426
"Sungai Geringging,Padang Pariaman,Sumatera Barat",-0.4358039,100.108851
"Guguk Panjang,Bukittinggi,Sumatera Barat",-0.3047255,100.3669015
"Mandiangin Koto Selayan,Bukittinggi,Sumatera Barat",-0.2906629,100.364993
"Tanjung Raya,Agam,Sumatera Barat",-0.3102289,100.180403
"Bekasi Timur,Bekasi,Jawa Barat",-6.242993,107.0180104
"Sukarami,Palembang,Sumatera Selatan",-2.9087895,104.712996
"Rambang Kapak Tengah,Prabumulih,Sumatera Selatan",-3.518968,104.221864
"Gunung Sugih,Lampung Tengah,Lampung",-4.9838589,105.210278
"Kebakkramat,Karanganyar,Jawa Tengah",-7.5212121,110.9207375
"Kedaton,Bandar Lampung,Lampung",-5.3784915,105.257859
"Pondokgede,Bekasi,Jawa Barat",-6.2717463,106.930825
"Gombong,Kebumen,Jawa Tengah",-7.60823,109.5188595
"Karangtengah,Cianjur,Jawa Barat",-6.8040914,107.1994
"Pasar Rebo,Jakarta Timur,Dki Jakarta",-6.3249584,106.855766
"Bogor Barat,Bogor,Jawa Barat",-6.5766335,106.765742
"Cigugur,Pangandaran,Jawa Barat",-7.6178669,108.4031295
"Tanggeung,Cianjur,Jawa Barat",-7.2546951,107.1267549
"Medan Denai,Medan,Sumatera Utara",3.5716,98.7228735
"Tegal Sari Mandala I,Medan,Sumatera Utara",3.58553,98.7083994
"Langkaplancar,Pangandaran,Jawa Barat",-7.559083,108.4348735
"Tempuran,Karawang,Jawa Barat",-6.1887229,107.4485901
"Garut Kota,Garut,Jawa Barat",-7.23189,107.93316
"Cibeunying Kidul,Bandung,Jawa Barat",-6.8985375,107.6478769
"Manonjaya,Tasikmalaya,Jawa Barat",-7.379745,108.3182755
"Sedong,Cirebon,Jawa Barat",-6.871277,108.575088
"Cipatat,Bandung Barat,Jawa Barat",-6.8402635,107.3845271
"Bojongpicung,Cianjur,Jawa Barat",-6.881068,107.259085
"Bogor Selatan,Bogor,Jawa Barat",-6.6426445,106.8098794
"Cibinong,Cianjur,Jawa Barat",-7.3225099,107.1772699
"Cikole,Sukabumi,Jawa Barat",-6.9153835,106.9384015
"Buahbatu,Bandung,Jawa Barat",-6.948061,107.6559755
"Jatiwangi,Majalengka,Jawa Barat",-6.7523534,108.256587
"Purwokerto Barat,Banyumas,Jawa Tengah",-7.422595,109.2122184
"Cilongok,Banyumas,Jawa Tengah",-7.3726705,109.147482
"Tunjungan,Blora,Jawa Tengah",-6.937671,111.3885305
"Bogorejo,Blora,Jawa Tengah",-6.9281,111.525689
"Wonosalam,Demak,Jawa Tengah",-6.9205985,110.657759
"Temanggung,Temanggung,Jawa Tengah",-7.322443,110.178306
"Pekalongan Selatan,Pekalongan,Jawa Tengah",-6.919729,109.6695465
"Banjarsari,Surakarta,Jawa Tengah",-7.5472335,110.8175534
"Kartasura,Sukoharjo,Jawa Tengah",-7.5593265,110.747849
"Bawen,Semarang,Jawa Tengah",-7.2262841,110.4383754
"Banyumanik,Semarang,Jawa Tengah",-7.0683385,110.4256966
"Tembalang,Semarang,Jawa Tengah",-7.045791,110.464728
"Bendosari,Sukoharjo,Jawa Tengah",-7.682443,110.8911884
"Bandung Kulon,Bandung,Jawa Barat",-6.9319365,107.5636739
"Gamping,Sleman,D I Yogyakarta",-7.784884,110.318567
"Ngemplak,Sleman,D I Yogyakarta",-7.7120299,110.445671
"Salam,Magelang,Jawa Tengah",-7.6200524,110.3011494
"Ngaglik,Sleman,D I Yogyakarta",-7.713873,110.404676
"Purworejo,Purworejo,Jawa Tengah",-7.7148364,110.0081361
"Klaten Selatan,Klaten,Jawa Tengah",-7.7180505,110.590496
"Umbulharjo,Yogyakarta,D I Yogyakarta",-7.815257,110.38658
